GSM509553 GSM509554 GSM509555 GSM509558 GSM509547 GSM509548 GSM509549 GSM509550 GSM509551 GSM509552
200051_at 5.81324333800927 5.63306144818994 5.80939329307823 5.78110392906227 5.39742536940721 5.77645487669444 5.21837346674287 5.62007301421195 5.92325064928388 6.00477379632573
200052_s_at 5.13537643916262 5.25915007561795 5.22860207647331 4.74246127909413 5.11931446387115 5.38775667129273 6.16489922735923 5.23922548604499 4.48740602348545 5.31118644056624
200053_at 7.63740365038072 7.85084088770989 7.92597502118487 7.70840313492492 7.70083435073203 7.91888982771634 7.83261174294871 7.7804542300331 8.01683200438577 7.91401143770085
200054_at 6.12747606457269 5.96967172255485 6.15162106713585 6.18196752329922 6.25831293272048 5.93788787533212 6.31130929150424 6.1086450214096 5.73108229970948 6.19320887153452
200055_at 8.96200509501007 8.4859839090852 8.68647080513085 8.74782795882959 9.10118225261794 8.90895859642089 8.12093168484535 8.56540797014548 8.64370035851297 8.84724751674247
200056_s_at 3.64965155000869 3.68392365243041 3.97615154097927 3.45577172339192 3.59329170602789 3.65459049747855 4.3506958706365 3.54917524636772 3.79162118325559 3.50115313653985
200057_s_at 9.02957852498524 9.04957126803429 9.13833125822056 9.02543580054556 9.06502092263554 9.24995379347972 8.94880498393151 9.04207683405717 8.98931788315655 9.0747398069177
200058_s_at 7.79827828348915 7.60545064554625 7.81934970564984 7.19862790908914 7.28746738023605 7.36354620645937 7.3842181387085 7.49107205741044 7.81009407617815 7.75231303074329
200059_s_at 8.99588474793986 8.75390653979945 8.97342129404427 8.83565393923868 9.20397437634299 9.15474242998509 8.59395583396542 8.90950606041661 8.73383955082227 8.86378006001347
200060_s_at 8.44812212233396 8.39636633127834 8.39712716513874 8.16905428174374 8.35801757364798 8.44293675056344 8.67963537112492 8.49151296214674 8.39283628664799 8.53778003800213
200061_s_at 11.7601999494596 11.5669118510831 11.8072446076925 11.6376083914643 11.4420000192819 11.6417647597338 11.7457230543382 11.7909100008606 11.5344934961751 11.5459363733994
